flaketype,frequencyghz,temperaturek,aeffum,max_dimension_mm,cabs,cbk,cext,csca,g,ar
9,3.000000,273.149994,93.800003,0.200000,3.709990e-14,2.448008e-17,3.711626e-14,1.635691e-17,1.872600e-04,-1.000000
9,3.000000,273.149994,120.199997,0.300000,8.139762e-14,1.126512e-16,8.147319e-14,7.556957e-17,1.929400e-04,-1.000000
9,3.000000,273.149994,139.899994,0.400000,1.363788e-13,2.959101e-16,1.365783e-13,1.995385e-16,1.985400e-04,-1.000000
9,3.000000,273.149994,152.300003,0.500000,1.903441e-13,5.281102e-16,1.907020e-13,3.578945e-16,2.041200e-04,-1.000000
9,3.000000,273.149994,186.600006,0.750000,3.858365e-13,1.945639e-15,3.871641e-13,1.327653e-15,2.229400e-04,-1.000000
9,3.000000,273.149994,217.199997,1.000000,6.383880e-13,5.038983e-15,6.418336e-13,3.445671e-15,2.469500e-04,-1.000000
9,3.000000,273.149994,258.500000,1.500000,1.181686e-12,1.565332e-14,1.192495e-12,1.080858e-14,3.133200e-04,-1.000000
9,3.000000,273.149994,299.399994,2.000000,1.893625e-12,3.886729e-14,1.920580e-12,2.695463e-14,4.016000e-04,-1.000000
9,3.000000,273.149994,337.799988,2.500000,2.773730e-12,8.165916e-14,2.830585e-12,5.685548e-14,5.129400e-04,-1.000000
9,3.000000,273.149994,373.600006,3.000000,3.809592e-12,1.516428e-13,3.914712e-12,1.051202e-13,6.204300e-04,-1.000000
9,3.000000,273.149994,405.399994,3.500000,4.926604e-12,2.504332e-13,5.101481e-12,1.748769e-13,7.786300e-04,-1.000000
9,3.000000,273.149994,407.399994,4.000000,5.172693e-12,2.669391e-13,5.359853e-12,1.871603e-13,9.575200e-04,-1.000000
9,3.000000,273.149994,462.299988,5.000000,7.689833e-12,5.790066e-13,8.093461e-12,4.036273e-13,1.395600e-03,-1.000000
9,3.000000,273.149994,509.299988,6.000000,1.038573e-11,1.043166e-12,1.111506e-11,7.293317e-13,1.917900e-03,-1.000000
9,3.000000,273.149994,553.599976,7.000000,1.346109e-11,1.731739e-12,1.467154e-11,1.210449e-12,2.527800e-03,-1.000000
9,3.000000,273.149994,592.099976,8.000000,1.655054e-11,2.596051e-12,1.838303e-11,1.832488e-12,3.222000e-03,-1.000000
9,3.000000,273.149994,632.700012,9.000000,2.034685e-11,3.879304e-12,2.308982e-11,2.742970e-12,4.023100e-03,-1.000000
9,3.000000,273.149994,671.599976,10.000000,2.450001e-11,5.562605e-12,2.842270e-11,3.922693e-12,4.919800e-03,-1.000000
10,3.000000,273.149994,33.340462,0.074890,1.988187e-15,5.641246e-20,1.988225e-15,3.783746e-20,1.789200e-04,-1.000000
10,3.000000,273.149994,48.006454,0.100630,5.593471e-15,4.780870e-19,5.593791e-15,3.194583e-19,1.794100e-04,-1.000000
10,3.000000,273.149994,76.205498,0.201260,2.246943e-14,7.669506e-18,2.247456e-14,5.129147e-18,1.811700e-04,-1.000000
10,3.000000,273.149994,94.228920,0.276730,4.371623e-14,2.816563e-17,4.373513e-14,1.889823e-17,1.854400e-04,-1.000000
10,3.000000,273.149994,114.152267,0.368980,8.063416e-14,9.222754e-17,8.069628e-14,6.212641e-17,1.936000e-04,-1.000000
10,3.000000,273.149994,111.483665,0.525530,7.753289e-14,8.082181e-17,7.758717e-14,5.428513e-17,1.830400e-04,-1.000000
10,3.000000,273.149994,124.619125,0.621090,1.097648e-13,1.597853e-16,1.098723e-13,1.075157e-16,1.869100e-04,-1.000000
10,3.000000,273.149994,142.455444,0.759100,1.668954e-13,3.629243e-16,1.671402e-13,2.447646e-16,1.976200e-04,-1.000000
10,3.000000,273.149994,154.092682,0.853990,2.135899e-13,5.879544e-16,2.139871e-13,3.971252e-16,2.099400e-04,-1.000000
10,3.000000,273.149994,168.439499,0.975990,2.826759e-13,1.016637e-15,2.833639e-13,6.879718e-16,2.323200e-04,-1.000000
10,3.000000,273.149994,168.975510,1.072610,2.907120e-13,1.048277e-15,2.914215e-13,7.094634e-16,1.942300e-04,-1.000000
